MovieId;Title;Character1;PersonName1;Sex1;ActorId1;Character2;PersonName2;Sex2;ActorId2;Character3;PersonName3;Sex3;ActorId3;Character4;PersonName4;Sex4;ActorId4;Overview
58;Pirates of the Caribbean: Dead Man's Chest;Captain Jack Sparrow;Johnny Depp;Male;85;Will Turner;Orlando Bloom;Male;114;Elizabeth Swann;Keira Knightley;Female;116;"William ""Bootstrap Bill"" Turner";Stellan Skarsgård;Male;1640;Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.
1124;The Prestige;Robert Angier / Gerald Root;Hugh Jackman;Male;6968;Alfred Borden;Christian Bale;Male;3894;Cutter;Michael Caine;Male;3895;Olivia Wenscombe;Scarlett Johansson;Female;1245;A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.
1422;The Departed;Francis 'Frank' Costello;Jack Nicholson;Male;514;"William ""Billy"" Costigan, Jr.";Leonardo DiCaprio;Male;6193;Staff Sgt. Colin Sullivan;Matt Damon;Male;1892;Staff Sgt. Sean Dignam;Mark Wahlberg;Male;13240;To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.
752;V for Vendetta;Evey Hammond;Natalie Portman;Female;524;William Rookwood / V;Hugo Weaving;Male;1331;Chief Inspector Eric Finch;Stephen Rea;Male;9029;Gordon Deitrich;Stephen Fry;Male;11275;In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.
920;Cars;Lightning McQueen (voice);Owen Wilson;Male;887;Sally Carrera (voice);Bonnie Hunt;Female;5149;Doc Hudson (voice);Paul Newman;Male;3636;Mater (voice);Larry the Cable Guy;Male;15897;Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.
350;The Devil Wears Prada;Andy Sachs;Anne Hathaway;Female;1813;Miranda Priestly;Meryl Streep;Female;5064;Emily;Emily Blunt;Female;5081;Nigel;Stanley Tucci;Male;2283;Andy moves to New York to work in the fashion industry. Her boss is extremely demanding, cruel and won't let her succeed if she doesn't fit into the high class elegant look of their magazine.
1417;Pan's Labyrinth;Ofelia;Ivana Baquero;Female;16970;Mercedes;Maribel Verdú;Female;16971;Capitán Vidal;Sergi López;Male;16972;Fauno / Pale Man;Doug Jones;Male;17005;Living with her tyrannical stepfather in a new home with her pregnant mother, 10-year-old Ofelia feels alone until she explores a decaying labyrinth guarded by a mysterious faun who claims to know her destiny. If she wishes to return to her real father, Ofelia must complete three terrifying tasks.
36557;Casino Royale;James Bond;Daniel Craig;Male;8784;Vesper Lynd;Eva Green;Female;10912;Le Chiffre;Mads Mikkelsen;Male;1019;M;Judi Dench;Female;5309;Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.
1593;Night at the Museum;Larry Daley;Ben Stiller;Male;7399;Theodore Roosevelt;Robin Williams;Male;2157;Rebecca;Carla Gugino;Female;17832;Cecil Fredericks;Dick Van Dyke;Male;61303;Chaos reigns at the natural history museum when night watchman Larry Daley accidentally stirs up an ancient curse, awakening Attila the Hun, an army of gladiators, a Tyrannosaurus rex and other exhibits.
950;Ice Age: The Meltdown;Manny (voice);Ray Romano;Male;15757;Sid (voice);John Leguizamo;Male;5723;Diego (voice);Denis Leary;Male;5724;Ellie (voice);Queen Latifah;Female;15758;Diego, Manny and Sid return in this sequel to the hit animated movie Ice Age. This time around, the deep freeze is over, and the ice-covered earth is starting to melt, which will destroy the trio's cherished valley. The impending disaster prompts them to reunite and warn all the other beasts about the desperate situation.
