MovieId;Title;Character1;PersonName1;Sex1;ActorId1;Character2;PersonName2;Sex2;ActorId2;Character3;PersonName3;Sex3;ActorId3;Character4;PersonName4;Sex4;ActorId4;Overview
597;Titanic;Jack Dawson;Leonardo DiCaprio;Male;6193;Rose DeWitt Bukater;Kate Winslet;Female;204;Cal Hockley;Billy Zane;Male;1954;Molly Brown;Kathy Bates;Female;8534;101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.
607;Men in Black;Agent K;Tommy Lee Jones;Male;2176;James Edwards / Agent J;Will Smith;Male;2888;Dr. Laurel Weaver / Agent L;Linda Fiorentino;Female;9625;Edgar / The Bug;Vincent D'Onofrio;Male;7132;After a police chase with an otherworldly being, a New York City cop is recruited as an agent in a top-secret organization established to monitor and police alien activity on Earth: the Men in Black. Agent Kay and new recruit Agent Jay find themselves in the middle of a deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies.
637;Life Is Beautiful;Guido Orefice;Roberto Benigni;Male;4818;Dora;Nicoletta Braschi;Female;9235;Giosué Orefice;Giorgio Cantarini;Male;9236;Eliseo Orefice;Giustino Durano;Male;9237;A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.
489;Good Will Hunting;Will Hunting;Matt Damon;Male;1892;Sean Maguire;Robin Williams;Male;2157;Chuckie Sullivan;Ben Affleck;Male;880;Gerald Lambeau;Stellan Skarsgård;Male;1640;Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he solves a difficult graduate-level math problem, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he will get treatment from therapist Sean Maguire.
18;The Fifth Element;Korben Dallas;Bruce Willis;Male;62;Leeloo;Milla Jovovich;Female;63;Jean-Baptiste Emmanuel Zorg;Gary Oldman;Male;64;Father Vito Cornelius;Ian Holm;Male;65;In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.
330;The Lost World: Jurassic Park;Ian Malcolm;Jeff Goldblum;Male;4785;Sarah Harding;Julianne Moore;Female;1231;Roland Tembo;Pete Postlethwaite;Male;4935;Peter Ludlow;Arliss Howard;Male;3229;Four years after Jurassic Park's genetically bred dinosaurs ran amok, multimillionaire John Hammond shocks chaos theorist Ian Malcolm by revealing that he has been breeding more beasties at a secret location. Malcolm, his paleontologist ladylove and a wildlife videographer join an expedition to document the lethal lizards' natural behavior in this action-packed thriller.
128;Princess Mononoke;Ashitaka (voice);Youji Matsuda;Male;622;San (voice);Yuriko Ishida;Female;20330;Eboshi-gozen (voice);Yūko Tanaka;Female;20331;Jiko-bô (voice);Kaoru Kobayashi;Male;20332;Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.
11970;Hercules;Hercules (voice);Tate Donovan;Male;15455;Young Hercules (voice);Josh Keaton;Male;20903;Young Hercules (singing voice);Roger Bart;Male;45566;Philoctetes (voice);Danny DeVito;Male;518;Bestowed with superhuman strength, a young mortal named Hercules sets out to prove himself a hero in the eyes of his father, the great god Zeus. Along with his friends Pegasus, a flying horse, and Phil, a personal trainer, Hercules is tricked by the hilarious, hotheaded villain Hades, who's plotting to take over Mount Olympus!
184;Jackie Brown;Jackie Brown;Pam Grier;Female;2230;Ordell Robbie;Samuel L. Jackson;Male;2231;Louis Gara;Robert De Niro;Male;380;Melanie Ralston;Bridget Fonda;Female;2233;Jackie Brown is a flight attendant who gets caught in the middle of smuggling cash into the country for her gunrunner boss. When the cops try to use Jackie to get to her boss, she hatches a plan — with help from a bail bondsman — to keep the money for herself.
782;Gattaca;Vincent Freeman;Ethan Hawke;Male;569;Irene Cassini;Uma Thurman;Female;139;Jerome Eugene Morrow;Jude Law;Male;9642;Detective Hugo;Alan Arkin;Male;1903;In a future society in the era of indefinite eugenics, humans are set on a life course depending on their DNA. Young Vincent Freeman is born with a condition that would prevent him from space travel, yet is determined to infiltrate the GATTACA space program.
2649;The Game;Nicholas Van Orton;Michael Douglas;Male;3392;Conrad Van Orton;Sean Penn;Male;2228;Christine;Deborah Kara Unger;Female;13549;Jim Feingold;James Rebhorn;Male;8986;In honor of his birthday, San Francisco banker Nicholas Van Orton, a financial genius and a cold-hearted loner, receives an unusual present from his younger brother, Conrad: a gift certificate to play a unique kind of game. In nary a nanosecond, Nicholas finds himself consumed by a dangerous set of ever-changing rules, unable to distinguish where the charade ends and reality begins.
1813;The Devil's Advocate;Kevin Lomax;Keanu Reeves;Male;6384;John Milton;Al Pacino;Male;1158;Mary Ann Lomax;Charlize Theron;Female;6885;Eddie Barzoon;Jeffrey Jones;Male;4004;Aspiring Florida defense lawyer Kevin Lomax accepts a job at a New York law firm. With the stakes getting higher every case, Kevin quickly learns that his boss has something far more evil planned.
9444;Anastasia;Anastasia (voice);Meg Ryan;Female;5344;Dimitri (voice);John Cusack;Male;3036;Rasputin (voice);Christopher Lloyd;Male;1062;The Dowager Empress Marie (voice);Angela Lansbury;Female;14730;"This animated adventure spins a more optimistic twist on the long-mythicized story of the ""lost daughter"" of Russia's last czar. A wicked sorcerer places a curse on the Romanov family, and Anastasia is separated from them during their attempts to escape from a rowdy revolt seizing their palace. Years later, after growing up with amnesia in an orphanage, ""Anya"" encounters two Russian men seeking a reward offered by the Dowager Empress Marie, for the return of her missing granddaughter. They decide to travel together to visit the Empress in Paris. Will Anya finally be reunited with her remaining family and find a loving home at last?"
1624;Liar Liar;Fletcher Reede;Jim Carrey;Male;206;Audrey Reede;Maura Tierney;Female;16307;Max Reede;Justin Cooper;Male;18190;Jerry;Cary Elwes;Male;2130;Fletcher Reede is a fast-talking attorney and habitual liar. When his son Max blows out the candles on his fifth birthday he has just one wish - that his dad will stop lying for 24 hours. When Max's wish comes true, Fletcher discovers that his mouth has suddenly become his biggest liability.
754;Face/Off;Sean Archer / Castor Troy;John Travolta;Male;8891;Castor Troy / Sean Archer;Nicolas Cage;Male;2963;Eve Archer;Joan Allen;Female;11148;Pollux Troy;Alessandro Nivola;Male;4941;Sean Archer, a very tough, rugged FBI Agent. Who is still grieving for his dead son Michael. Archer believes that his son's killer is his sworn enemy, a very powerful criminal, Castor Troy. One day, Archer has finally cornered Castor, however, their fight has knocked out Troy cold. As Archer finally breathes easy over the capture of his enemy, he finds out that Troy has planted a bomb that will destroy the entire city of Los Angeles and all of its inhabitants. Unfortunately the only other person who knows its location is Castor's brother Pollux, and he refuses to talk. The solution, a special operation doctor that can cut off people's faces, and can place a person's face onto another person. Archer undergoes one of those surgeries to talk to Pollux. However, Castor Troy somehow regains consciousness and now wants revenge on Archer for taking his face. Not only is Troy ruining Archer's mission, but his personal life as well. Archer must stop Troy again. This time, it's personal.
415;Batman & Robin;Bruce Wayne / Batman;George Clooney;Male;1461;Dick Grayson / Robin;Chris O'Donnell;Male;5577;Dr. Victor Fries / Mr. Freeze;Arnold Schwarzenegger;Male;1100;Dr. Pamela Isley / Poison Ivy;Uma Thurman;Female;139;Batman and Robin deal with relationship issues while preventing Mr. Freeze and Poison Ivy from attacking Gotham City.
2118;L.A. Confidential;"Edmund ""Ed"" Exley";Guy Pearce;Male;529;"Wendell ""Bud"" White";Russell Crowe;Male;934;Jack Vincennes;Kevin Spacey;Male;1979;Dudley Smith;James Cromwell;Male;2505;Three detectives in the corrupt and brutal L.A. police force of the 1950s use differing methods to uncover a conspiracy behind the shotgun slayings of the patrons at an all-night diner.
8078;Alien Resurrection;Ripley 8;Sigourney Weaver;Female;10205;Annalee Call;Winona Ryder;Female;1920;Dom Vriess;Dominique Pinon;Male;2413;Ron Johner;Ron Perlman;Male;2372;Two hundred years after Lt. Ripley died, a group of scientists clone her, hoping to breed the ultimate weapon. But the new Ripley is full of surprises … as are the new aliens. Ripley must team with a band of smugglers to keep the creatures from reaching Earth.
431;Cube;Leaven;Nicole de Boer;Female;5888;Holloway;Nicky Guadagni;Female;5889;Quentin;Maurice Dean Wint;Male;5900;Worth;David Hewlett;Male;5892;A group of strangers find themselves trapped in a maze-like prison. It soon becomes clear that each of them possesses the peculiar skills necessary to escape, if they don't wind up dead first.
563;Starship Troopers;Johnny D. Rico;Casper Van Dien;Male;27763;Dizzy Flores;Dina Meyer;Female;2133;Carmen Ibañez;Denise Richards;Female;9205;Private Ace Levy;Jake Busey;Male;28410;"Set in the future, the story follows a young soldier named Johnny Rico and his exploits in the Mobile Infantry. Rico's military career progresses from recruit to non-commissioned officer and finally to officer against the backdrop of an interstellar war between mankind and an arachnoid species known as ""the Bugs""."
9366;Donnie Brasco;Donnie Brasco / Joseph D. 'Joe' Pistone;Johnny Depp;Male;85;Benjamin 'Lefty' Ruggiero;Al Pacino;Male;1158;Dominick 'Sonny Black' Napolitano;Michael Madsen;Male;147;Nicholas 'Nicky' Santora;Bruno Kirby;Male;9257;An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.
686;Contact;Eleanor Arroway;Jodie Foster;Female;1038;Palmer Joss;Matthew McConaughey;Male;10297;Michael Kitz;James Woods;Male;4512;S. R. Hadden;John Hurt;Male;5049;A radio astronomer receives the first extraterrestrial radio signal ever picked up on Earth. As the world powers scramble to decipher the message and decide upon a course of action, she must make some difficult decisions between her beliefs, the truth, and reality.
1701;Con Air;Cameron Poe;Nicolas Cage;Male;2963;Agent Vince Larkin;John Cusack;Male;3036;"Cyrus ""The Virus"" Grissom";John Malkovich;Male;6949;"""Baby-O"" O'Dell";Mykelti Williamson;Male;34;"When the government puts all its rotten criminal eggs in one airborne basket, it's asking for trouble. Before you can say, ""Pass the barf bag,"" the crooks control the plane, led by creepy Cyrus ""The Virus"" Grissom. Watching his every move is the just-released Cameron Poe, who'd rather reunite with his family."
2898;As Good as It Gets;Melvin Udall;Jack Nicholson;Male;514;Carol Connelly;Helen Hunt;Female;9994;Simon Bishop;Greg Kinnear;Male;17141;Frank Sachs;Cuba Gooding Jr.;Male;9777;New York City. Melvin Udall, a cranky, bigoted, obsessive-compulsive writer, finds his life turned upside down when neighboring gay artist Simon is hospitalized and his dog is entrusted to Melvin. In addition, Carol, the only waitress who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast.
4233;Scream 2;Sidney Prescott;Neve Campbell;Female;9206;Gale Weathers;Courteney Cox;Female;14405;Dewey Riley;David Arquette;Male;15234;Derek;Jerry O'Connell;Male;3035;Two years after the terrifying events that occurred in Woodsboro, Sidney is now attending Windsor College in Cincinnati, and Gale Weathers' best selling book on Sidney's life has now been made into a major motion picture. When two college students are killed in a theatre while watching the new film 'Stab', Sidney knows deep down that history is repeating itself.
