year;movieid;charactername1;charactername2;charactername3;sex;actorid;adj
2021;337404;Estella;Cruella;;Female;54693;fashionable
2021;337404;Estella;Cruella;;Female;54693;revenge-bent
2021;522931;Sonia Kincaid;;;Female;3136;infamous
2021;522931;Sonia Kincaid;;;Female;3136;international
2021;522931;Sonia Kincaid;;;Female;3136;con
2021;522931;Sonia Kincaid;;;Female;3136;artist
2021;613911;Isabel;;;Female;3136;mysterious
2021;785533;Stacy De Novo;Queen Margaret Delacourt;Fiona Pembroke;Female;67599;identical
2021;785533;Stacy De Novo;Queen Margaret Delacourt;Fiona Pembroke;Female;67599;royals
2021;523638;Bernice;;;Female;568657;adopted
2021;523638;Bernice;;;Female;568657;granddaughter
2021;672322;Tomoe Yukishiro;;;Female;1039305;gentle
2021;823461;Andrea Singer;;;Female;96316;stand-up
2021;823461;Andrea Singer;;;Female;96316;comic
2021;628914;JoJo;;;Female;1532312;pal
