year;movieid;charactername1;charactername2;charactername3;sex;actorid;adj
2021;580489;Eddie Brock;Venom;;Male;2524;investigative
2021;580489;Eddie Brock;Venom;;Male;2524;reporter
2021;580489;Cletus Kasady;Carnage;;Male;57755;serial
2021;580489;Cletus Kasady;Carnage;;Male;57755;killer
2021;460465;Cole Young;;;Male;1610940;washed-up
2021;460465;Cole Young;;;Male;1610940;mma
2021;460465;Cole Young;;;Male;1610940;fighter
2021;451048;Frank Wolff;;;Male;18918;skipper
2021;522931;Michael Bryce;;;Male;10859;lethal
2021;522931;Michael Bryce;;;Male;10859;odd
2021;522931;Michael Bryce;;;Male;10859;couple
2021;522931;Michael Bryce;;;Male;10859;bodyguard
2021;522931;Darius Kincaid;;;Male;2231;hitman
2021;568620;Snake Eyes;;;Male;1807132;tenacious
2021;568620;Snake Eyes;;;Male;1807132;loner
2021;458220;Eddie Palmer;;;Male;12111;former
2021;458220;Eddie Palmer;;;Male;12111;high
2021;458220;Eddie Palmer;;;Male;12111;school
2021;458220;Eddie Palmer;;;Male;12111;football
2021;458220;Eddie Palmer;;;Male;12111;star
2021;645788;Moody;;;Male;2231;legendary
2021;645788;Moody;;;Male;2231;assassin
2021;831405;Clark Kent;Superman;Kal-El (voice);Male;1222596;unhinged
2021;604563;Hubert Bonisseur de la Bath;OSS 117;;Male;56024;secret
2021;604563;Hubert Bonisseur de la Bath;OSS 117;;Male;56024;agent
2021;763164;Thomas Malone;;;Male;62;ex-cop
2021;654974;Max Mercer;;;Male;2089892;10-year-old
2021;602063;Enishi Yukishiro;;;Male;1566805;former
2021;602063;Enishi Yukishiro;;;Male;1566805;brother-in-law
2021;810873;James;;;Male;432040;handsome
2021;810873;James;;;Male;432040;trainer
2021;581644;Richard Pace;;;Male;517;criminal
2021;617762;Louis Wain;;;Male;71580;eccentric
2021;617762;Louis Wain;;;Male;71580;british
2021;617762;Louis Wain;;;Male;71580;artist
2021;802217;Jake Doyle;;;Male;2115854;ten-year-old
2021;660000;Lucien de Rubempré;;;Male;1871464;young
2021;660000;Lucien de Rubempré;;;Male;1871464;poet
2021;767304;Brad Paxton;;;Male;40276;veteran
2021;767304;Brad Paxton;;;Male;40276;war
2021;767304;Brad Paxton;;;Male;40276;hero
2021;767304;Brad Paxton;;;Male;40276;races
2021;869617;Thibault;;;Male;2269547;hopeful
2021;869617;Thibault;;;Male;2269547;romantic
