year,movieid,adj,noun
2016,340103,10-year,daughter
1977,14741,10-year-old,daughter
1996,1645,10-year-old,daughter
1997,35796,10-year-old,daughter
2016,339984,10-year-old,daughter
2004,9509,10-year-old,girl
2012,129112,10-year-old,girl
1981,21764,10-year-old,sister
1999,65296,11-year-old,girl
2003,1088,11-year-old,girl
2006,13751,11-year-old,girl
2016,294272,11-year-old,girl
2020,582885,11-year-old,girl
1978,26973,12-year-old,daughter
1976,23761,12-year-old,girl
1992,56381,12-year-old,girl
1993,56381,12-year-old,girl
2012,72387,12-year-old,girl
1986,52657,12-year-old,sister
2011,63207,13-year-old,daughter
1999,34766,13-year-old,girl
1973,126526,14-year-old,girl
2018,426618,15-year,daughter
1980,27458,15-year,girl
2005,14517,15-year,girl
2005,42434,15-year-old,daughter
2019,405177,15-year-old,daughter
2001,9880,15-year-old,girl
1996,27681,15-year-old,sister
1998,33271,16th-century,aunt
2016,309886,16-year,daughter
2018,489999,16-year-old,daughter
1977,66092,16-year-old,girl
1998,9844,16-year-old,girl
2002,542,16-year-old,girl
2018,445651,16-year-old,girl
2018,470044,16-year-old,girl
1996,17182,17-year-old,daughter
1974,706,17-year-old,girl
1993,20859,17-year-old,girl
2014,270400,17-year-old,girl
2020,551804,17-year-old,girl
2020,629017,17-year-old,girl
2015,318256,18-to-19-year,girl
2003,38970,18-year-old,daughter
2001,12308,18-year-old,girl
1973,55418,19-year-old,girl
1991,40740,20th-century,girl
1999,9946,20-year-old,woman
2015,253344,25-year-old,girlfriend
2012,98548,30-year-old,sister
1983,17692,35-foot,mother
1988,47429,40-year,woman
2010,41210,40-year-old,woman
2018,503616,40-year-old,woman
2017,433247,5-year-old,girl
2005,9315,6-year-old,daughter
2013,146233,6-year-old,daughter
2015,319373,76-year-old,woman
1996,19760,7-year-long,girlfriend
1971,343,80-year-old,woman
2020,520725,8-year-old,daughter
2021,754067,8-year-old,daughter
2021,574060,8-year-old,girl
1976,21882,9-year-old,daughter
2020,592834,9-year-old,girl
1990,4587,9-year-old,sister
2013,204082,9-years-old,daughter
1970,20848,abandoned,woman
1984,9326,abducted,sister
1993,1644,abducted,woman
1984,60573,abused,wife
1999,31306,abused,wife
2004,1280,abused,wife
1990,40377,abusive,mother
2000,25166,abusive,wife
1992,35936,activist,girl
2001,17612,adolescent,girl
2005,13461,adolescent,girl
2014,236735,adolescent,girl
1985,29263,adopted,daughter
2018,498249,adoptive,mother
2006,10886,adorable,girl
1971,42501,adulterous,mother
2011,82532,adulterous,wife
1984,28148,aerobic,female
1985,49370,aerobic,female
1985,873,african-american,woman
2005,11638,african-american,woman
2016,381284,african-american,woman
2018,465914,african-american,woman
1993,61560,aggressive,wife
2021,520663,agoraphobic,woman
1994,19155,albanian,girl
