year,movieid,adj,noun
2005,9981,10-year,son
1973,54001,10-year-old,boy
1974,54001,10-year-old,boy
1985,16248,10-year-old,boy
1991,68430,10-year-old,boy
2011,71676,10-year-old,boy
1995,51184,10-year-old,child
2020,615177,11-year-old,son
2006,9388,12-year,son
2000,33504,12-year-old,boy
2000,48130,12-year-old,boy
2007,15356,12-year-old,boy
2012,73723,12-year-old,boy
2018,399174,12-year-old,boy
2018,517814,12-year-old,boy
2019,524251,12-year-old,boy
1976,13549,12-year-old,son
1988,27352,12-year-old,son
1992,32635,12-year-old,son
2001,11456,12-year-old,son
2012,98548,12-year-old,son
2017,429174,12-year-old,son
1986,63691,13-year-old,boy
1988,2280,13-year-old,boy
2012,84287,13-year-old,boy
1978,4267,13-year-old,son
2013,82700,13-year-old,son
2019,514439,14-year-old,boy
1979,30636,15-year-old,son
2002,9685,17-year-old,boy
2015,223485,17-year-old,boy
1998,1075,17-year-old,son
2011,38322,17-year-old,son
2011,48340,17-year-old,son
2018,507505,19-year-old,boy
2003,38970,19-year-old,son
2011,40807,27-year-old,guy
1981,13665,30-year-old,child
1999,30943,3-year-old,son
2008,14072,40-ish,man
2013,206408,40-year-old,father
1996,7095,40-year-old,man
2018,475215,4-year,boy
2014,236751,4-year,son
2020,651881,50-year-old,man
2005,1963,60-year,man
1971,36040,6-year-old,son
1997,46187,6-year-old,son
2000,17208,8-year-old,boy
2001,1734,8-year-old,son
2004,10145,8-year-old,son
1976,3935,9-month-old,son
2005,1986,9-year-old,boy
2012,80389,9-year-old,boy
2015,318781,abducted,boyfriend
2011,63197,abducted,child
1978,69069,aboriginal,man
1993,19552,absent,husband
1970,62675,absent-minded,man
1973,39889,abused,boy
1995,18256,abused,child
1977,81462,abused,child
1995,46725,abused,child
1995,46725,abused,child
2015,314365,abused,child
1985,164249,abusive,boyfriend
1988,36778,abusive,boyfriend
1992,24065,abusive,boyfriend
1974,10311,abusive,father
1985,873,abusive,father
1986,33278,abusive,father
2012,81446,abusive,father
2014,157847,abusive,father
1970,4266,abusive,husband
1970,20528,abusive,husband
1977,365279,abusive,husband
1980,75552,abusive,husband
1992,5237,abusive,husband
1995,11929,abusive,husband
2000,2046,abusive,husband
2000,742,abusive,husband
2008,14098,abusive,husband
2021,667257,abusive,husband
1977,37749,abusive,men
1992,10906,abusive,stepfather
2006,7304,abusive,stepfather
2011,23629,abusive,stepfather
1971,6619,adolescent,boy
2011,50780,adolescent,son
2016,342737,adolescent,son
1992,9361,adopted,son
2001,9606,adopted,son
2018,425505,adoptive,brother
2011,57331,adoptive,father
2001,10757,adoptive,son
2008,14400,adoptive,son
2005,9709,adulterous,father
1985,10552,adulterous,man
1974,34052,adventurous,boy
2017,407445,adventurous,man
2010,57243,affluent,man
2005,868,african,boy
2000,711,african,man
2006,2016,african,men
2016,393457,african-american,father
1991,29475,african-american,men
1998,73,african-american,men
2003,12253,african-american,men
2014,184352,aggressive,brother
1982,11704,ailing,son
2019,512263,alcohol-abusing,father
1973,55418,alcoholic,father
1998,22797,alcoholic,father
2006,7510,alcoholic,father
1994,527,alcoholic,husband
2009,21634,all-american,boy
2007,12171,all-american,guy
1979,21887,alpha,male
1973,97519,ambitious,brother
1992,69896,ambitious,man
2006,9794,ambitious,men
