year,movieid,charactername1,charactername2,charactername3,sex,actorid,adj
1970,35838,Tristana,,,Female,50,vulnerable
1970,56366,Adelaide,,,Female,41779,young
1970,56366,Adelaide,,,Female,41779,fiancee
1970,56366,Adelaide,,,Female,41779,meet
1970,56366,Adelaide,,,Female,41779,nello
1970,17276,Lady Evelyn Bagley,,,Female,40949,mounts
1970,42597,Doris,,,Female,10400,catty
1970,42597,Doris,,,Female,10400,live
1970,56923,Valeria,,,Female,83259,ex-wife
1970,83475,Pasha Stroganova,,,Female,99291,provincial
1970,83475,Pasha Stroganova,,,Female,99291,russian
1970,83475,Pasha Stroganova,,,Female,99291,town
1970,83475,Pasha Stroganova,,,Female,99291,dreams
1970,250696,Antigone,,,Female,10341,young
1970,63859,Witchiepoo,,,Female,112821,evil
1970,212761,Markéta,,,Female,1183267,girl
1970,42596,Kate,,,Female,39762,pretty
1970,42596,Kate,,,Female,39762,fairchild
1970,11657,Corey,,,Male,15135,criminal
1970,11657,Corey,,,Male,15135,french
1970,11657,Jansen,,,Male,2565,alcoholic
1970,11657,Jansen,,,Male,2565,current
1970,11657,Vogel,,,Male,14276,escaped
1970,11657,Vogel,,,Male,14276,murderer
1970,20848,Fyodor Sukhov,,,Male,1119005,soldier
1970,25625,Lady Divine,,,Male,10369,becomes
1970,258,Antoine Doinel,,,Male,1653,everyman
1970,258,Antoine Doinel,,,Male,1653,parisian
1970,28733,Count Yorga,,,Male,82830,intense
1970,40486,Black Demon,,,Male,124002,evil
1970,42358,Captain Ross,,,Male,2091,commander
1970,42358,Captain Ross,,,Male,2091,company
1970,42358,Captain Ross,,,Male,2091,former
1970,42597,Felix,,,Male,18364,owlish
1970,44721,Little Fauss,,,Male,6451,unlikely
1970,46362,Cassavius,,,Male,40,bedridden
1970,56366,Nello,,,Male,3753,adelaide
1970,56366,Nello,,,Male,3753,fiancee
1970,56366,Nello,,,Male,3753,meet
1970,56366,Nello,,,Male,3753,young
1970,56923,Enrico,,,Male,20564,musician
1970,56923,Enrico,,,Male,20564,venetian
1970,64651,Baron,,,Male,21503,evil
1970,64651,Kazuma,,,Male,136879,friend
1970,64651,Kazuma,,,Male,136879,new
1970,71206,Colonel Skimmel,,,Male,80692,austrian
1970,83136,Sartana,,,Male,97684,hero
1970,83136,Sartana,,,Male,97684,legendary
1971,41357,Dorothy,,,Female,26662,married
1971,30855,Sister Hyde,,,Female,9925,beautiful
1971,30855,Sister Hyde,,,Female,9925,psychotic
1971,31472,Mircalla,Carmilla Karnstein,,Female,108087,beautiful
1971,34461,Alice,,,Female,10663,plucky
1971,34461,Alice,,,Female,10663,young
1971,85496,Ellie Masters,,,Female,160762,teen-aged
1971,62978,Rosemonde,,,Female,38341,quixotic
1971,62978,Rosemonde,,,Female,38341,....
1971,29069,Diane LeFanu,,,Female,15954,mysterious
1971,29069,Diane LeFanu,,,Female,15954,vixen
1971,185,Alexander DeLarge,,,Male,56890,young
1971,21242,Valdez,,,Male,13784,bob
1971,21242,Valdez,,,Male,13784,mexican-american
1971,21242,Valdez,,,Male,13784,sheriff
1971,24084,Curly,,,Male,107651,mate
1971,24084,Curly,,,Male,107651,old
1971,252,Willy Wonka,,,Male,3460,candy
1971,252,Willy Wonka,,,Male,3460,eccentric
1971,252,Willy Wonka,,,Male,3460,man
1971,26234,John Christie,,,Male,4786,british
1971,26234,John Christie,,,Male,4786,killer
1971,26234,John Christie,,,Male,4786,serial
1971,29069,Lee Ritter,,,Male,45114,guy
1971,29069,Lee Ritter,,,Male,45114,nice
1971,29069,Lee Ritter,,,Male,45114,sleepy-eyed
1971,30903,Jean,,,Male,44961,former
1971,30903,Jean,,,Male,44961,lover
1971,30903,Jean,,,Male,44961,sadistic
1971,36492,Jonathan,,,Male,514,friends
1971,38654,Philip Calvert,,,Male,4173,agent
1971,38654,Philip Calvert,,,Male,4173,british
1971,40486,Black Demon,,,Male,124002,evil
1971,42514,Roy Hubley,Jesse Kiplinger,Sam Nash,Male,6837,brash
1971,42514,Roy Hubley,Jesse Kiplinger,Sam Nash,Male,6837,film
1971,42514,Roy Hubley,Jesse Kiplinger,Sam Nash,Male,6837,producer
1971,46362,Cassavius,,,Male,40,bedridden
1971,482,John Shaft,,,Male,6487,black
1971,482,John Shaft,,,Male,6487,eye
1971,482,John Shaft,,,Male,6487,private
1971,48211,Nicola Sacco,,,Male,29429,immigrants
1971,48211,Nicola Sacco,,,Male,29429,italian
1971,63512,Rene Marot,,,Male,14503,former
1971,63512,Rene Marot,,,Male,14503,partner
1971,86431,Szindbád,,,Male,56292,seducer
1971,86431,Szindbád,,,Male,56292,serial
1972,10784,Sally Bowles,,,Female,66776,starry-eyed
1972,10784,Sally Bowles,,,Female,66776,singer
1972,10238,Karin,,,Female,8742,suicidal
1972,47251,Vanina Abati,,,Female,32062,old
1972,47251,Vanina Abati,,,Female,32062,student
1972,55106,Jill Tanner,,,Female,18892,kooky
1972,55106,Jill Tanner,,,Female,18892,neighbor
1972,88875,Beatrice,,,Female,109410,middle-aged
1972,88875,Beatrice,,,Female,109410,widow
1972,88875,Beatrice,,,Female,109410,hunsdorfer
1972,88875,Ruth,,,Female,171271,epileptic
1972,88875,Matilda,,,Female,942574,intelligent
1972,88875,Matilda,,,Female,942574,idealistic
1972,40821,Greta,,,Female,10341,lead
1972,34461,Alice,,,Female,10663,plucky
1972,34461,Alice,,,Female,10663,young
1972,59855,Maria Rosa,,,Female,34027,beautiful
1972,58257,Sophie Brzeska,,,Female,38998,polish
1972,58257,Sophie Brzeska,,,Female,38998,writer
1972,10669,Lewis Medlock,,,Male,16475,fanatic
1972,10669,Lewis Medlock,,,Male,16475,outdoor
1972,127475,John Benedict,,,Male,8252,peaceful
1972,127475,John Benedict,,,Male,8252,rancher
1972,156231,Bartolomeo,,,Male,20030,servant
1972,21949,Mr. T,,,Male,88094,elegant
1972,24084,Curly,,,Male,107651,mate
1972,24084,Curly,,,Male,107651,old
1972,3426,David,,,Male,17578,flame
1972,3426,David,,,Male,17578,former
1972,40022,Ugo Piazza,,,Male,3281,ex-con
1972,42487,Mr. Cato,,,Male,40,mysterious
1972,42490,Ben Mockridge,,,Male,119796,young
1972,4702,Leon Trotsky,,,Male,5341,revolutionary
1972,5183,Henry Pulling,,,Male,8224,bank
1972,5183,Henry Pulling,,,Male,8224,clerk
1972,5183,Henry Pulling,,,Male,8224,stuffy
1972,66775,Winston Churchill,,,Male,29540,british
1972,66775,Winston Churchill,,,Male,29540,politician
1972,692,Divine,Babs Johnson,,Male,10369,figure
1972,692,Divine,Babs Johnson,,Male,10369,underground
1972,71138,Sugimi,,,Male,236090,crooked
1972,71138,Sugimi,,,Male,236090,detective
1972,74325,Luca,,,Male,18966,boyfriend
1972,74325,Luca,,,Male,18966,psychiatrist
1973,22307,Grace Collier,,,Female,41258,inquisitive
1973,22307,Grace Collier,,,Female,41258,journalist
1973,55689,Valentina Rosselli,,,Female,39236,youthful
1973,55689,Valentina Rosselli,,,Female,39236,fashion
1973,55689,Valentina Rosselli,,,Female,39236,photographer
1973,107287,Ana,,,Female,400,young
1973,107287,Ana,,,Female,400,traveled
1973,154297,Nel Rawlison,,,Female,1134962,old
1973,272045,Zelha,,,Female,228611,older
1973,272045,Zelha,,,Female,228611,sister
1973,74948,Hermine,,,Female,24590,mysterious
1973,74948,Maria,,,Female,33863,whimsical
1973,11577,Billy the Kid,,,Male,10823,friend
1973,11577,Billy the Kid,,,Male,10823,old
1973,145481,Sancho Panza,,,Male,29518,squire
1973,145481,Sancho Panza,,,Male,29518,unusual
1973,154297,Stas Tarkowski,,,Male,1134961,boy
1973,154297,Stas Tarkowski,,,Male,1134961,old
1973,154297,Stas Tarkowski,,,Male,1134961,polish
1973,22307,Joseph Larch,,,Male,1466,investigator
1973,22307,Joseph Larch,,,Male,1466,private
1973,26329,Sidney Fiddler,,,Male,40952,councillor
